author,comment
@yehezkielfebrianta,"ketua gw itu, jaya jaya jaya"
@DoniNurhidayat-zi1nl,soft spoken 🤭
@peeyunivers5220,Banyak Tuyul tolol yang gunain  nama MSF buat rusuh2.
@kulitpisangA07004,Anjayy motipasi
@Ikysehat,MSF JAYA JAYA JAYA JAYA
@qeermi,🎉
@bintang4403,GACORR JAYA JAYA JAYA🔥🔥🔥🔥🔥
@fahriajahlah,Slebew ngetod gming jaya jaya jaya
@Alpansyahpurnamanaks,BATUTU
@fafadillea,GILLEEEE JAYAA JA YA J A Y A
@GentarDzulfikar,jaya jaya nentod
@lgis22,Mana#Msfontop gess
@mufaaaaaa,Halah nyocot
@BestiaParva,"sesuai podcast ye,mungkung bilang nya adik nya erikolim hahaha"
@KingKong-f6g1s,Kesayangan mungkung
@Denisitkaii,Gg
@QitarAlverlon,Adik lu yee😂
@Isaaa_77,Gacor jaya jaya jaya🎉
@Dilzz113,saya marah nih😡😡😡
@Reza-ow8mm,Tapi gara' dia aku jadi mikirnya game Rp seru jugak
@lgis22,Jarot: kupikir hubungan kita spesial adik wkwk
